EMG_s0,EMG_s1,EMG_s2,EMG_s3,EMG_s4,EMG_s5,EMG_s6,EMG_s7,timestamp
-2.0,-5.0,-1.0,-5.0,-3.0,-1.0,-2.0,-2.0,1651084753968143.0
0.0,-3.0,-1.0,-3.0,-1.0,0.0,0.0,1.0,1651084753968143.0
0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1651084753969171.0
0.0,-2.0,-1.0,-2.0,-2.0,1.0,-2.0,-1.0,1651084753969171.0
1.0,-2.0,-1.0,-2.0,-2.0,0.0,-1.0,1.0,1651084753970171.0
1.0,-2.0,-1.0,0.0,-1.0,0.0,0.0,0.0,1651084753970171.0
-2.0,-1.0,-2.0,-2.0,-2.0,-5.0,-3.0,-2.0,1651084753971172.0
-3.0,-6.0,-1.0,-1.0,1.0,2.0,-1.0,0.0,1651084753971172.0
1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1651084753981103.0
-2.0,1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,1651084753981103.0
1.0,-5.0,-1.0,-3.0,-4.0,-3.0,-2.0,-2.0,1651084753993076.0
0.0,-1.0,0.0,0.0,-4.0,-3.0,-2.0,-2.0,1651084753993076.0
-1.0,1.0,1.0,4.0,4.0,5.0,0.0,1.0,1651084754001051.0
-1.0,-4.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,1651084754001051.0
0.0,-2.0,-3.0,-2.0,-4.0,-2.0,1.0,-1.0,1651084754008034.0
-1.0,1.0,-2.0,-3.0,-2.0,-3.0,-2.0,0.0,1651084754008034.0
0.0,-1.0,-1.0,0.0,1.0,2.0,1.0,-1.0,1651084754022992.0
-1.0,-2.0,-1.0,-2.0,-4.0,-1.0,-1.0,-3.0,1651084754022992.0
0.0,-1.0,0.0,0.0,1.0,1.0,-1.0,2.0,1651084754037998.0
1.0,0.0,0.0,1.0,3.0,4.0,1.0,0.0,1651084754037998.0
0.0,3.0,0.0,1.0,1.0,0.0,2.0,-1.0,1651084754078948.0
0.0,1.0,1.0,2.0,0.0,1.0,1.0,-1.0,1651084754078948.0
0.0,-4.0,0.0,-3.0,-3.0,-1.0,-1.0,0.0,1651084754078948.0
0.0,0.0,-2.0,-1.0,-1.0,-3.0,0.0,-1.0,1651084754078948.0
-2.0,2.0,-2.0,0.0,-1.0,0.0,-2.0,0.0,1651084754082909.0
2.0,-4.0,-2.0,-2.0,-1.0,-2.0,-2.0,-1.0,1651084754082909.0
1.0,0.0,0.0,2.0,2.0,1.0,0.0,-1.0,1651084754084909.0
0.0,3.0,0.0,0.0,0.0,-1.0,0.0,-1.0,1651084754084909.0
0.0,-6.0,-2.0,-2.0,-1.0,1.0,1.0,-1.0,1651084754088895.0
-1.0,-1.0,-1.0,-1.0,-1.0,-4.0,-2.0,-1.0,1651084754088895.0
-1.0,1.0,1.0,-1.0,-1.0,-3.0,-3.0,0.0,1651084754097863.0
-1.0,-2.0,-2.0,-1.0,-1.0,0.0,0.0,-1.0,1651084754097863.0
0.0,-5.0,-1.0,-3.0,-1.0,-2.0,-3.0,-1.0,1651084754103853.0
-3.0,0.0,0.0,-2.0,1.0,0.0,1.0,-1.0,1651084754103853.0
0.0,2.0,-1.0,0.0,0.0,1.0,1.0,0.0,1651084754120776.0
-1.0,-2.0,2.0,0.0,0.0,-2.0,-1.0,0.0,1651084754120776.0
-1.0,-1.0,0.0,1.0,0.0,1.0,0.0,-1.0,1651084754126794.0
-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,1651084754126794.0
