EMG_s0,EMG_s1,EMG_s2,EMG_s3,EMG_s4,EMG_s5,EMG_s6,EMG_s7,timestamp
-2.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1651088087505339.0
0.0,0.0,-2.0,-1.0,-2.0,-2.0,-1.0,-1.0,1651088087505339.0
-1.0,-1.0,-1.0,0.0,-2.0,-1.0,0.0,-2.0,1651088087506334.0
-2.0,-1.0,0.0,1.0,2.0,3.0,1.0,0.0,1651088087506334.0
1.0,0.0,1.0,4.0,7.0,1.0,0.0,1.0,1651088087507333.0
1.0,-1.0,0.0,-2.0,-1.0,-2.0,-4.0,-4.0,1651088087507333.0
1.0,0.0,-1.0,-2.0,-3.0,-2.0,-3.0,-1.0,1651088087508361.0
1.0,-1.0,-2.0,-1.0,-6.0,-4.0,-3.0,-3.0,1651088087508361.0
-1.0,-3.0,-5.0,-5.0,-8.0,-5.0,-2.0,-2.0,1651088087514345.0
-3.0,-3.0,-2.0,7.0,4.0,-2.0,1.0,0.0,1651088087514345.0
-2.0,-3.0,-3.0,-2.0,-1.0,-3.0,-2.0,-2.0,1651088087518339.0
-2.0,-2.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,1651088087518339.0
-2.0,-2.0,-3.0,-1.0,-3.0,-1.0,-1.0,-2.0,1651088087535376.0
-2.0,0.0,-3.0,-4.0,-6.0,-2.0,-1.0,-1.0,1651088087535376.0
-1.0,-3.0,-2.0,6.0,6.0,3.0,1.0,0.0,1651088087543210.0
-2.0,0.0,-3.0,-2.0,-5.0,-2.0,0.0,-1.0,1651088087543210.0
0.0,0.0,-3.0,-4.0,-3.0,-4.0,-1.0,-1.0,1651088087550351.0
0.0,0.0,-1.0,5.0,0.0,-3.0,-2.0,-1.0,1651088087550351.0
-3.0,0.0,-1.0,-1.0,1.0,1.0,-1.0,-2.0,1651088087582356.0
-1.0,-2.0,0.0,2.0,2.0,1.0,1.0,1.0,1651088087582356.0
1.0,-1.0,-1.0,-2.0,-2.0,-1.0,-2.0,0.0,1651088087582356.0
0.0,-1.0,0.0,4.0,8.0,5.0,1.0,1.0,1651088087582356.0
1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,1651088087610372.0
-1.0,-1.0,0.0,-1.0,-3.0,-1.0,0.0,-1.0,1651088087610372.0
0.0,-2.0,-2.0,-3.0,-5.0,-3.0,-1.0,0.0,1651088087610372.0
0.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,1651088087610372.0
0.0,0.0,-1.0,-1.0,-1.0,-2.0,-1.0,1.0,1651088087611223.0
-1.0,-2.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1651088087611223.0
-1.0,-1.0,0.0,6.0,3.0,0.0,1.0,-1.0,1651088087617206.0
0.0,0.0,-1.0,-2.0,-1.0,0.0,1.0,-2.0,1651088087617206.0
-1.0,-1.0,3.0,0.0,7.0,4.0,2.0,-2.0,1651088087624331.0
0.0,-1.0,-1.0,-2.0,-1.0,-2.0,-1.0,0.0,1651088087624331.0
0.0,1.0,0.0,-3.0,-5.0,-2.0,-2.0,-1.0,1651088087634301.0
-1.0,-2.0,-1.0,-1.0,-3.0,0.0,0.0,0.0,1651088087634301.0
0.0,0.0,0.0,1.0,0.0,-2.0,0.0,-1.0,1651088087638301.0
0.0,0.0,-1.0,-5.0,-3.0,-2.0,-1.0,-3.0,1651088087638301.0
-1.0,-1.0,2.0,4.0,4.0,2.0,1.0,-1.0,1651088087655170.0
-1.0,0.0,0.0,-7.0,-4.0,-4.0,-1.0,-1.0,1651088087655170.0
-2.0,-2.0,-2.0,3.0,-3.0,0.0,-2.0,0.0,1651088087661152.0
0.0,-1.0,1.0,1.0,0.0,1.0,-1.0,0.0,1651088087661152.0
1.0,0.0,-1.0,-4.0,-5.0,-2.0,0.0,0.0,1651088087685174.0
-1.0,-2.0,-1.0,-2.0,0.0,1.0,-1.0,-1.0,1651088087685174.0
-1.0,0.0,-2.0,-5.0,-7.0,-5.0,0.0,1.0,1651088087685174.0
-1.0,1.0,0.0,2.0,3.0,2.0,0.0,-1.0,1651088087685174.0
-1.0,0.0,1.0,-1.0,1.0,1.0,-2.0,-1.0,1651088087700267.0
-1.0,-2.0,-1.0,1.0,-1.0,-1.0,-1.0,-3.0,1651088087700267.0
0.0,0.0,-1.0,-1.0,-2.0,-3.0,0.0,-1.0,1651088087700267.0
0.0,-1.0,1.0,-1.0,2.0,0.0,0.0,0.0,1651088087700267.0
0.0,0.0,-1.0,3.0,0.0,0.0,-1.0,-1.0,1651088087722107.0
0.0,0.0,0.0,1.0,3.0,0.0,-1.0,0.0,1651088087722107.0
0.0,-1.0,-1.0,-2.0,-3.0,-1.0,0.0,-2.0,1651088087722107.0
-1.0,0.0,-2.0,0.0,1.0,1.0,0.0,-3.0,1651088087722107.0
-1.0,-2.0,-2.0,-3.0,-3.0,0.0,-3.0,-1.0,1651088087744199.0
2.0,1.0,-1.0,-2.0,-3.0,-3.0,-2.0,0.0,1651088087744199.0
1.0,1.0,1.0,6.0,12.0,7.0,1.0,2.0,1651088087745165.0
-2.0,-2.0,-1.0,1.0,-2.0,-2.0,1.0,-1.0,1651088087745165.0
0.0,-2.0,-4.0,-5.0,-1.0,-2.0,-2.0,1.0,1651088087759224.0
-2.0,-2.0,-1.0,2.0,-3.0,-2.0,0.0,0.0,1651088087759224.0
-2.0,0.0,-1.0,-1.0,-3.0,-2.0,-1.0,-1.0,1651088087766352.0
1.0,-3.0,0.0,-3.0,-3.0,-3.0,0.0,1.0,1651088087766352.0
-3.0,2.0,0.0,1.0,1.0,0.0,-1.0,0.0,1651088087781486.0
