EMG_s0,EMG_s1,EMG_s2,EMG_s3,EMG_s4,EMG_s5,EMG_s6,EMG_s7,timestamp
1.0,-1.0,0.0,-3.0,3.0,-7.0,0.0,0.0,1650911086921038.0
-1.0,-2.0,1.0,-1.0,-21.0,2.0,-2.0,0.0,1650911086921038.0
0.0,-1.0,4.0,4.0,6.0,17.0,0.0,1.0,1650911086942638.0
1.0,0.0,2.0,1.0,8.0,-5.0,0.0,0.0,1650911086942638.0
0.0,2.0,-2.0,0.0,7.0,-3.0,-2.0,1.0,1650911086943639.0
1.0,0.0,2.0,-1.0,5.0,6.0,0.0,0.0,1650911086943639.0
-1.0,2.0,0.0,2.0,-5.0,2.0,1.0,-1.0,1650911086956776.0
0.0,0.0,-5.0,-2.0,-12.0,-6.0,-3.0,0.0,1650911086956776.0
-1.0,0.0,3.0,3.0,5.0,8.0,1.0,0.0,1650911086958774.0
0.0,0.0,-1.0,0.0,13.0,5.0,1.0,1.0,1650911086958774.0
-4.0,0.0,-4.0,-8.0,-8.0,-9.0,-5.0,-1.0,1650911086979865.0
-1.0,1.0,1.0,-3.0,-13.0,-4.0,-1.0,-4.0,1650911086979865.0
-1.0,1.0,-3.0,0.0,-5.0,-2.0,-2.0,-1.0,1650911086980804.0
1.0,-3.0,1.0,2.0,8.0,-1.0,1.0,1.0,1650911086980804.0
-1.0,-1.0,-2.0,0.0,7.0,3.0,2.0,0.0,1650911087002155.0
1.0,0.0,0.0,-1.0,-4.0,1.0,-1.0,0.0,1650911087002155.0
0.0,-2.0,-5.0,-5.0,-5.0,-9.0,-4.0,-1.0,1650911087003157.0
-1.0,1.0,-1.0,-1.0,-1.0,12.0,3.0,-3.0,1650911087003157.0
2.0,1.0,2.0,4.0,4.0,0.0,2.0,3.0,1650911087016337.0
-3.0,1.0,-2.0,0.0,-15.0,-9.0,-2.0,-1.0,1650911087016337.0
0.0,-1.0,0.0,1.0,-3.0,4.0,-2.0,-2.0,1650911087023363.0
-1.0,0.0,-3.0,-3.0,-4.0,-8.0,-2.0,-2.0,1650911087023363.0
1.0,0.0,0.0,1.0,0.0,-1.0,1.0,0.0,1650911087038221.0
1.0,0.0,1.0,0.0,8.0,10.0,1.0,0.0,1650911087038221.0
-2.0,0.0,-1.0,0.0,3.0,-3.0,0.0,0.0,1650911087047220.0
0.0,-2.0,-3.0,0.0,-3.0,1.0,0.0,-2.0,1650911087047220.0
-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,1650911087062139.0
-1.0,1.0,0.0,1.0,8.0,-2.0,0.0,0.0,1650911087062139.0
-1.0,-4.0,-4.0,-2.0,-3.0,-2.0,2.0,0.0,1650911087063998.0
0.0,2.0,1.0,-4.0,-13.0,3.0,-2.0,1.0,1650911087063998.0
2.0,-2.0,-5.0,-6.0,-16.0,-18.0,-6.0,-3.0,1650911087084971.0
