,EMG_s0,EMG_s1,EMG_s2,EMG_s3,EMG_s4,EMG_s5,EMG_s6,EMG_s7,timestamp,signal
0,-2.0,-2.0,0.0,-2.0,3.0,7.0,1.0,-1.0,1650911265455137.0,0
1,1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-3.0,0.0,1650911265455137.0,0
2,-1.0,-1.0,-1.0,-1.0,-8.0,-4.0,-3.0,0.0,1650911265470749.0,0
3,-1.0,0.0,2.0,2.0,13.0,4.0,1.0,-1.0,1650911265470749.0,0
4,0.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,1.0,1650911265470749.0,0
5,-2.0,-1.0,-1.0,-1.0,-3.0,-1.0,1.0,-3.0,1650911265470749.0,0
6,1.0,0.0,-2.0,-5.0,-2.0,-1.0,-1.0,-2.0,1650911265493172.0,0
7,-2.0,-2.0,-3.0,-3.0,-9.0,-2.0,-2.0,1.0,1650911265493172.0,0
8,-1.0,-1.0,0.0,2.0,2.0,0.0,2.0,0.0,1650911265493172.0,0
9,-2.0,-2.0,0.0,-1.0,-2.0,-1.0,-2.0,0.0,1650911265493172.0,0
10,-1.0,1.0,-1.0,-1.0,2.0,2.0,0.0,0.0,1650911265515697.0,0
11,-1.0,-1.0,0.0,0.0,6.0,-5.0,-1.0,-3.0,1650911265515697.0,0
12,-1.0,1.0,1.0,2.0,3.0,10.0,0.0,0.0,1650911265515697.0,0
13,-1.0,-1.0,0.0,2.0,10.0,-5.0,1.0,-1.0,1650911265515697.0,0
14,-1.0,-1.0,-1.0,-3.0,-8.0,-10.0,0.0,-2.0,1650911265529893.0,0
15,-3.0,-1.0,-2.0,-3.0,-4.0,-6.0,-1.0,-1.0,1650911265529893.0,0
16,0.0,0.0,-1.0,-1.0,-3.0,-2.0,-2.0,-1.0,1650911265530860.0,0
17,-2.0,-1.0,-2.0,-5.0,-9.0,3.0,-5.0,-1.0,1650911265530860.0,0
18,1.0,2.0,1.0,0.0,9.0,7.0,0.0,-1.0,1650911265553299.0,0
19,0.0,0.0,1.0,4.0,5.0,6.0,2.0,0.0,1650911265553299.0,0
20,2.0,2.0,-2.0,2.0,13.0,0.0,3.0,1.0,1650911265553299.0,0
21,-1.0,0.0,-2.0,-1.0,2.0,1.0,0.0,1.0,1650911265553299.0,0
22,-3.0,-4.0,-3.0,-3.0,-11.0,-4.0,-2.0,-1.0,1650911265575153.0,0
23,-1.0,-1.0,-1.0,-4.0,-10.0,-7.0,-3.0,-1.0,1650911265575153.0,0
24,-2.0,-1.0,-2.0,-5.0,-12.0,-4.0,-2.0,-1.0,1650911265575910.0,0
25,0.0,0.0,0.0,0.0,3.0,-2.0,0.0,-3.0,1650911265575910.0,0
26,-1.0,0.0,-2.0,0.0,0.0,3.0,2.0,0.0,1650911265599167.0,0
27,0.0,1.0,1.0,2.0,5.0,1.0,2.0,-1.0,1650911265599167.0,0
28,-1.0,0.0,-1.0,2.0,4.0,2.0,0.0,1.0,1650911265599167.0,0
29,1.0,-1.0,-1.0,-4.0,0.0,-2.0,1.0,0.0,1650911265599167.0,0
30,0.0,-1.0,-2.0,-3.0,-24.0,-2.0,0.0,-1.0,1650911265613774.0,0
