,EMG_s0,EMG_s1,EMG_s2,EMG_s3,EMG_s4,EMG_s5,EMG_s6,EMG_s7,timestamp,signal
0,0.0,0.0,-2.0,-1.0,1.0,0.0,0.0,-2.0,1651087930501270.0,0
1,-1.0,-1.0,1.0,1.0,2.0,1.0,1.0,1.0,1651087930501270.0,0
2,-2.0,0.0,2.0,-1.0,-1.0,0.0,0.0,0.0,1651087930502270.0,0
3,1.0,-1.0,0.0,-2.0,-2.0,-1.0,1.0,0.0,1651087930502270.0,0
4,-1.0,-1.0,-1.0,-2.0,-3.0,-1.0,0.0,-2.0,1651087930507288.0,0
5,-1.0,0.0,0.0,-1.0,-1.0,0.0,-2.0,-1.0,1651087930507288.0,0
6,-2.0,-2.0,0.0,-1.0,-1.0,-3.0,0.0,1.0,1651087930515625.0,0
7,-1.0,1.0,-1.0,3.0,5.0,2.0,0.0,0.0,1651087930515625.0,0
8,-1.0,0.0,1.0,0.0,-1.0,-1.0,0.0,0.0,1651087930530808.0,0
9,-1.0,-1.0,-2.0,-2.0,-3.0,0.0,-2.0,0.0,1651087930530808.0,0
10,0.0,1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,1651087930532035.0,0
11,0.0,0.0,-2.0,-1.0,-3.0,1.0,-1.0,-1.0,1651087930532035.0,0
12,0.0,-2.0,-1.0,0.0,-2.0,-1.0,0.0,1.0,1651087930554356.0,0
13,0.0,0.0,-2.0,-1.0,-3.0,-4.0,0.0,-1.0,1651087930554356.0,0
14,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-2.0,1651087930555243.0,0
15,1.0,-1.0,-1.0,0.0,0.0,1.0,-1.0,-1.0,1651087930555243.0,0
16,0.0,-1.0,0.0,-1.0,-1.0,2.0,0.0,-2.0,1651087930576385.0,0
17,-1.0,-1.0,0.0,-1.0,-2.0,1.0,0.0,0.0,1651087930576385.0,0
18,-2.0,-1.0,-2.0,0.0,-1.0,-2.0,-2.0,-1.0,1651087930577262.0,0
19,-1.0,0.0,-1.0,2.0,0.0,-1.0,1.0,-2.0,1651087930577262.0,0
20,-1.0,-1.0,0.0,-3.0,0.0,-1.0,-1.0,-1.0,1651087930591340.0,0
21,-2.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,1651087930591340.0,0
22,0.0,-1.0,0.0,-1.0,2.0,2.0,0.0,0.0,1651087930592202.0,0
23,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,1.0,1651087930592202.0,0
24,-1.0,0.0,0.0,-2.0,1.0,0.0,-1.0,0.0,1651087930614275.0,0
25,0.0,-1.0,-1.0,-3.0,-3.0,0.0,1.0,-1.0,1651087930614275.0,0
26,1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,1651087930615241.0,0
27,-3.0,0.0,0.0,1.0,2.0,2.0,0.0,-1.0,1651087930615241.0,0
28,0.0,-1.0,0.0,1.0,2.0,1.0,1.0,-1.0,1651087930636228.0,0
29,-1.0,-1.0,-2.0,-1.0,0.0,-1.0,-2.0,-1.0,1651087930636228.0,0
30,0.0,-1.0,-1.0,-2.0,-3.0,-1.0,-1.0,0.0,1651087930637093.0,0
31,0.0,-1.0,0.0,-1.0,-1.0,-2.0,-2.0,-1.0,1651087930637093.0,0
32,-1.0,1.0,-3.0,-2.0,-3.0,-1.0,-1.0,1.0,1651087930651217.0,0
33,0.0,-2.0,-1.0,-2.0,-2.0,-1.0,-2.0,-2.0,1651087930651217.0,0
34,-3.0,1.0,-4.0,-1.0,2.0,0.0,1.0,-2.0,1651087930652217.0,0
35,-1.0,-1.0,1.0,1.0,-1.0,-2.0,-1.0,0.0,1651087930652217.0,0
36,0.0,-1.0,-1.0,2.0,0.0,0.0,0.0,-2.0,1651087930673227.0,0
37,0.0,1.0,1.0,0.0,-1.0,0.0,0.0,1.0,1651087930673227.0,0
38,0.0,0.0,2.0,-3.0,-2.0,-2.0,-2.0,-2.0,1651087930675222.0,0
39,0.0,-1.0,0.0,-1.0,-2.0,1.0,0.0,0.0,1651087930675222.0,0
40,-1.0,-1.0,-2.0,-1.0,-2.0,0.0,1.0,-1.0,1651087930696431.0,0
41,-1.0,-1.0,0.0,-1.0,-1.0,0.0,1.0,-1.0,1651087930696431.0,0
42,0.0,-3.0,-1.0,0.0,0.0,-2.0,-1.0,0.0,1651087930697286.0,0
43,-1.0,-1.0,0.0,0.0,1.0,0.0,2.0,0.0,1651087930697286.0,0
44,1.0,1.0,1.0,2.0,5.0,-1.0,-1.0,1.0,1651087930710388.0,0
45,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,0.0,1651087930710388.0,0
46,1.0,0.0,-3.0,-1.0,-2.0,0.0,-3.0,-1.0,1651087930717481.0,0
47,1.0,0.0,1.0,-2.0,-2.0,-2.0,0.0,0.0,1651087930717481.0,0
48,1.0,0.0,-2.0,-2.0,-3.0,-1.0,-1.0,1.0,1651087930733077.0,0
49,-1.0,0.0,0.0,0.0,1.0,1.0,-1.0,-1.0,1651087930733077.0,0
50,-1.0,-1.0,-1.0,1.0,2.0,1.0,0.0,-1.0,1651087930735075.0,0
51,-2.0,-2.0,-2.0,-2.0,-1.0,-1.0,-2.0,-2.0,1651087930735075.0,0
52,-1.0,-1.0,0.0,1.0,0.0,0.0,1.0,-2.0,1651087930756195.0,0
53,-1.0,-2.0,-3.0,-1.0,-1.0,-1.0,-3.0,-1.0,1651087930756195.0,0
54,-1.0,-2.0,-1.0,-1.0,-1.0,-2.0,1.0,-1.0,1651087930757193.0,0
55,0.0,0.0,-1.0,0.0,-2.0,1.0,-1.0,0.0,1651087930757193.0,0
56,-2.0,1.0,-1.0,-1.0,-1.0,-2.0,0.0,0.0,1651087930771294.0,0
57,0.0,0.0,1.0,0.0,-1.0,1.0,-1.0,-2.0,1651087930771294.0,0
58,-1.0,0.0,1.0,0.0,0.0,0.0,-2.0,0.0,1651087930772294.0,0
59,1.0,0.0,0.0,0.0,1.0,-1.0,-1.0,1.0,1651087930772294.0,0
60,0.0,-1.0,-2.0,-2.0,0.0,-1.0,0.0,-1.0,1651087930793199.0,0
61,0.0,-2.0,2.0,0.0,1.0,0.0,1.0,2.0,1651087930793199.0,0
62,0.0,-1.0,-1.0,-2.0,-1.0,0.0,0.0,1.0,1651087930795194.0,0
63,-2.0,0.0,-1.0,0.0,0.0,1.0,-1.0,-2.0,1651087930795194.0,0
64,-1.0,-2.0,-1.0,0.0,-2.0,-1.0,1.0,-1.0,1651087930816324.0,0
65,0.0,0.0,-1.0,1.0,-2.0,-2.0,1.0,-1.0,1651087930816324.0,0
66,-1.0,0.0,-1.0,1.0,-1.0,0.0,1.0,0.0,1651087930817187.0,0
67,1.0,-1.0,-1.0,0.0,1.0,-1.0,-2.0,-3.0,1651087930817187.0,0
68,-2.0,-1.0,0.0,-1.0,-1.0,-3.0,-1.0,-2.0,1651087930830343.0,0
69,1.0,1.0,0.0,-1.0,2.0,-1.0,0.0,-1.0,1651087930830343.0,0
70,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1651087930837313.0,0
71,-2.0,0.0,2.0,-2.0,-1.0,0.0,1.0,-2.0,1651087930837313.0,0
72,-1.0,0.0,-3.0,-1.0,-1.0,0.0,0.0,-1.0,1651087930852335.0,0
73,-1.0,-2.0,-2.0,-1.0,0.0,-1.0,-2.0,-2.0,1651087930852335.0,0
74,-1.0,-2.0,-2.0,-1.0,-3.0,-1.0,-1.0,0.0,1651087930861473.0,0
75,-1.0,-1.0,-2.0,2.0,0.0,-2.0,0.0,0.0,1651087930861473.0,0
76,-1.0,0.0,0.0,1.0,-1.0,1.0,-1.0,1.0,1651087930875863.0,0
77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1651087930875863.0,0
78,-1.0,-3.0,-2.0,-2.0,-1.0,-2.0,-1.0,-1.0,1651087930877722.0,0
79,-1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1651087930877722.0,0
80,-1.0,-1.0,1.0,-1.0,0.0,1.0,0.0,0.0,1651087930898904.0,0
81,-1.0,1.0,-1.0,-3.0,-1.0,0.0,0.0,0.0,1651087930898904.0,0
82,-1.0,0.0,-2.0,-1.0,0.0,0.0,1.0,-1.0,1651087930899907.0,0
83,-2.0,0.0,-1.0,-2.0,-2.0,-1.0,0.0,0.0,1651087930899907.0,0
84,0.0,1.0,0.0,0.0,-3.0,-2.0,-1.0,1.0,1651087930912563.0,0
85,0.0,-3.0,-2.0,2.0,0.0,-1.0,0.0,-1.0,1651087930912563.0,0
